segment_id,segment_name,district,mapping_method,confidence,midpoint_latitude,midpoint_longitude,distance_m,estimated_travel_time_s,road_type,walkable,population,population_density,total_reported_cases,cases_per_100k,severity_weighted_cases_per_100k,recent_cases_per_100k,recent_severity_per_100k,crime_trend_slope,historical_baseline,lighting_score,cctv_coverage_score,footfall_proxy,distance_to_police_m,distance_to_hospital_m,distance_to_medical_facility_m,distance_to_public_toilet_m,distance_to_nearest_amenity_m,nearest_hotspot_distance_m,nearest_hotspot_intensity,has_police_nearby,has_hospital_nearby,has_public_toilet_nearby,lighting_data_synthetic,cctv_data_synthetic,mobility_data_synthetic,hotspot_data_synthetic,representative_hour,time_period,is_night,is_late_night,is_evening_peak,is_weekend,is_peak_hour,base_evening_footfall,contextual_footfall_proxy,temporal_data_synthetic,reduced_activity_context,lighting_relevance
1001,Connaught Place to Janpath,New Delhi,midpoint/locality administrative mapping,high,28.629,77.21695,950,76,primary,True,142004,4057,951,669.6994,499.8294,836.5257,623.9652,-0.4857,100.0,74,78,4782,480.83976280942414,1511.943998920021,386.6466510122201,373.12204070675887,373.12204070675887,1601.6145189263182,88.0,True,True,True,True,True,True,True,8,Morning,0,0,0,0,1,4782.0,3108.3,True,0,0.5
1001,Connaught Place to Janpath,New Delhi,midpoint/locality administrative mapping,high,28.629,77.21695,950,76,primary,True,142004,4057,951,669.6994,499.8294,836.5257,623.9652,-0.4857,100.0,74,78,4782,480.83976280942414,1511.943998920021,386.6466510122201,373.12204070675887,373.12204070675887,1601.6145189263182,88.0,True,True,True,True,True,True,True,8,Morning,0,0,0,1,1,4782.0,3108.3,True,0,0.5
1001,Connaught Place to Janpath,New Delhi,midpoint/locality administrative mapping,high,28.629,77.21695,950,76,primary,True,142004,4057,951,669.6994,499.8294,836.5257,623.9652,-0.4857,100.0,74,78,4782,480.83976280942414,1511.943998920021,386.6466510122201,373.12204070675887,373.12204070675887,1601.6145189263182,88.0,True,True,True,True,True,True,True,13,Day,0,0,0,0,0,4782.0,2630.1,True,0,0.5
1001,Connaught Place to Janpath,New Delhi,midpoint/locality administrative mapping,high,28.629,77.21695,950,76,primary,True,142004,4057,951,669.6994,499.8294,836.5257,623.9652,-0.4857,100.0,74,78,4782,480.83976280942414,1511.943998920021,386.6466510122201,373.12204070675887,373.12204070675887,1601.6145189263182,88.0,True,True,True,True,True,True,True,13,Day,0,0,0,1,0,4782.0,2630.1,True,0,0.5
1001,Connaught Place to Janpath,New Delhi,midpoint/locality administrative mapping,high,28.629,77.21695,950,76,primary,True,142004,4057,951,669.6994,499.8294,836.5257,623.9652,-0.4857,100.0,74,78,4782,480.83976280942414,1511.943998920021,386.6466510122201,373.12204070675887,373.12204070675887,1601.6145189263182,88.0,True,True,True,True,True,True,True,19,Evening,0,0,1,0,1,4782.0,4782.0,True,0,0.5
1001,Connaught Place to Janpath,New Delhi,midpoint/locality administrative mapping,high,28.629,77.21695,950,76,primary,True,142004,4057,951,669.6994,499.8294,836.5257,623.9652,-0.4857,100.0,74,78,4782,480.83976280942414,1511.943998920021,386.6466510122201,373.12204070675887,373.12204070675887,1601.6145189263182,88.0,True,True,True,True,True,True,True,19,Evening,0,0,1,1,1,4782.0,4782.0,True,0,0.5
1001,Connaught Place to Janpath,New Delhi,midpoint/locality administrative mapping,high,28.629,77.21695,950,76,primary,True,142004,4057,951,669.6994,499.8294,836.5257,623.9652,-0.4857,100.0,74,78,4782,480.83976280942414,1511.943998920021,386.6466510122201,373.12204070675887,373.12204070675887,1601.6145189263182,88.0,True,True,True,True,True,True,True,23,Night,1,0,0,0,0,4782.0,1673.7,True,1,1.0
1001,Connaught Place to Janpath,New Delhi,midpoint/locality administrative mapping,high,28.629,77.21695,950,76,primary,True,142004,4057,951,669.6994,499.8294,836.5257,623.9652,-0.4857,100.0,74,78,4782,480.83976280942414,1511.943998920021,386.6466510122201,373.12204070675887,373.12204070675887,1601.6145189263182,88.0,True,True,True,True,True,True,True,23,Night,1,0,0,1,0,4782.0,1673.7,True,1,1.0
1001,Connaught Place to Janpath,New Delhi,midpoint/locality administrative mapping,high,28.629,77.21695,950,76,primary,True,142004,4057,951,669.6994,499.8294,836.5257,623.9652,-0.4857,100.0,74,78,4782,480.83976280942414,1511.943998920021,386.6466510122201,373.12204070675887,373.12204070675887,1601.6145189263182,88.0,True,True,True,True,True,True,True,2,Late Night,1,1,0,0,0,4782.0,956.4,True,1,1.0
1001,Connaught Place to Janpath,New Delhi,midpoint/locality administrative mapping,high,28.629,77.21695,950,76,primary,True,142004,4057,951,669.6994,499.8294,836.5257,623.9652,-0.4857,100.0,74,78,4782,480.83976280942414,1511.943998920021,386.6466510122201,373.12204070675887,373.12204070675887,1601.6145189263182,88.0,True,True,True,True,True,True,True,2,Late Night,1,1,0,1,0,4782.0,956.4,True,1,1.0
